Model	Epochs	Lambda	Numerical tests	Categorical tests	Distances 	Numerical correlations 	Categorical correlations	Average Precision	Average Recall 	Average Accuracy 	Average F1
tabfairgan	300	0.4	0.357575758	0.038961039	0.872727273	0.427272727	0.645454545	0.657229091	0.655001818	0.655090909	0.653221818
tabfairgan	300	0.6	0.327272727	0.051948052	0.860606061	0.481818182	0.658181818	0.662029091	0.658396364	0.658107273	0.656621818
tabfairgan	300	0.8	0.296969697	0.025974026	0.860606061	0.463636364	0.631818182	0.667392727	0.663683636	0.663741818	0.661007273
tabfairgan	300	1	0.290909091	0.051948052	0.872727273	0.372727273	0.613636364	0.67022	0.667349091	0.667441818	0.665829091
tabfairgan	300	1.5	0.351515152	0.051948052	0.878787879	0.381818182	0.622727273	0.657032727	0.654778182	0.654741818	0.65338
tabfairgan	300	2	0.393939394	0.025974026	0.878787879	0.409090909	0.57	0.649209091	0.646945455	0.646983636	0.645305455
tabfairgan	300	5	0.309090909	0.012987013	0.866666667	0.472727273	0.566363636	0.661685455	0.658663636	0.658843636	0.656852727
distcorrgan	50	0.2	0.127272727	0.025974026	0.872727273	0.345454545	0.282727273	0.722372727	0.718558182	0.718969091	0.71502
distcorrgan	50	0.4	0.145454545	0.051948052	0.890909091	0.472727273	0.308181818	0.737014545	0.734354545	0.734734545	0.732878182
distcorrgan	50	0.6	0.193939394	0.025974026	0.890909091	0.354545455	0.224545455	0.730032727	0.726083636	0.726683636	0.722149091
distcorrgan	50	0.8	0.145454545	0.038961039	0.890909091	0.418181818	0.320909091	0.765618182	0.762103636	0.762458182	0.759758182
distcorrgan	50	1	0.145454545	0.012987013	0.896969697	0.354545455	0.294545455	0.749849091	0.747183636	0.747487273	0.746049091
distcorrgan	50	1.5	0.145454545	0.012987013	0.878787879	0.390909091	0.260909091	0.738770909	0.735594545	0.73592	0.733174545
distcorrgan	50	2	0.175757576	0.012987013	0.884848485	0.381818182	0.248181818	0.737089091	0.733947273	0.73444	0.730767273
distcorrgan	50	5	0.16969697	0.051948052	0.896969697	0.4	0.324545455	0.74722	0.742510909	0.743036364	0.739349091
distcorrgan	100	0.2	0.315151515	0.051948052	0.903030303	0.327272727	0.272727273	0.697836364	0.696203636	0.696590909	0.693810909
distcorrgan	100	0.4	0.363636364	0.038961039	0.878787879	0.336363636	0.27	0.706401818	0.704630909	0.705092727	0.702261818
distcorrgan	100	0.6	0.345454545	0.064935065	0.896969697	0.345454545	0.281818182	0.716214545	0.712261818	0.712741818	0.708743636
distcorrgan	100	0.8	0.303030303	0.038961039	0.890909091	0.318181818	0.24	0.710230909	0.708043636	0.708589091	0.705274545
distcorrgan	100	1	0.315151515	0.064935065	0.878787879	0.254545455	0.264545455	0.726110909	0.722669091	0.723125455	0.719018182
distcorrgan	100	1.5	0.321212121	0.025974026	0.884848485	0.354545455	0.234545455	0.72212	0.719365455	0.719865455	0.717345455
distcorrgan	100	2	0.296969697	0.051948052	0.854545455	0.336363636	0.320909091	0.719703636	0.717461818	0.718034545	0.714056364
distcorrgan	100	5	0.290909091	0.025974026	0.866666667	0.345454545	0.29	0.725383636	0.719949091	0.720501818	0.716105455
distcorrgan	150	0.2	0.303030303	0.103896104	0.872727273	0.390909091	0.257272727	0.721	0.718689091	0.719074545	0.716927273
distcorrgan	150	0.4	0.387878788	0.025974026	0.909090909	0.454545455	0.272727273	0.690481818	0.688530909	0.688781818	0.687118182
distcorrgan	150	0.6	0.424242424	0.012987013	0.896969697	0.345454545	0.312727273	0.696390909	0.693838182	0.694316364	0.69052
distcorrgan	150	0.8	0.387878788	0.090909091	0.884848485	0.390909091	0.307272727	0.706447273	0.70306	0.703503636	0.700767273
distcorrgan	150	1	0.418181818	0.051948052	0.890909091	0.4	0.25	0.703981818	0.702325455	0.702767273	0.700134545
distcorrgan	150	1.5	0.36969697	0.051948052	0.890909091	0.390909091	0.277272727	0.703925455	0.701447273	0.702029091	0.698292727
distcorrgan	150	2	0.387878788	0.025974026	0.896969697	0.490909091	0.265454545	0.700781818	0.698752727	0.699214545	0.69634
distcorrgan	150	5	0.387878788	0.077922078	0.890909091	0.354545455	0.278181818	0.7121	0.709841818	0.710325455	0.706941818
distcorrgan	200	0.2	0.315151515	0.038961039	0.866666667	0.427272727	0.177272727	0.681390909	0.677863636	0.678070909	0.67624
distcorrgan	200	0.4	0.357575758	0.051948052	0.872727273	0.390909091	0.289090909	0.675461818	0.673523636	0.673761818	0.671925455
distcorrgan	200	0.6	0.345454545	0.038961039	0.903030303	0.472727273	0.29	0.676090909	0.673330909	0.673667273	0.670709091
distcorrgan	200	0.8	0.357575758	0.038961039	0.878787879	0.445454545	0.252727273	0.680996364	0.677058182	0.677372727	0.673296364
distcorrgan	200	1	0.333333333	0.051948052	0.909090909	0.409090909	0.285454545	0.687958182	0.686101818	0.686410909	0.68438
distcorrgan	200	1.5	0.387878788	0.051948052	0.909090909	0.381818182	0.307272727	0.686287273	0.684350909	0.684687273	0.682318182
distcorrgan	200	2	0.363636364	0.051948052	0.890909091	0.327272727	0.311818182	0.692027273	0.690561818	0.691061818	0.687570909
distcorrgan	200	5	0.363636364	0.025974026	0.909090909	0.454545455	0.252727273	0.693661818	0.691574545	0.691950909	0.689047273
distcorrgan	250	0.2	0.290909091	0.051948052	0.878787879	0.545454545	0.303636364	0.672309091	0.668	0.667985455	0.666752727
distcorrgan	250	0.4	0.315151515	0.038961039	0.866666667	0.454545455	0.304545455	0.670870909	0.667525455	0.667689091	0.666070909
distcorrgan	250	0.6	0.351515152	0.051948052	0.872727273	0.472727273	0.338181818	0.673303636	0.669970909	0.670205455	0.668261818
distcorrgan	250	0.8	0.357575758	0.064935065	0.884848485	0.518181818	0.285454545	0.666276364	0.661987273	0.662158182	0.659454545
distcorrgan	250	1	0.36969697	0.051948052	0.896969697	0.490909091	0.271818182	0.671001818	0.667534545	0.667732727	0.665307273
